epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,6.725202681274414,3.8600308011372886,0.34094,0.4485
1,4.128293508758545,6.464257209777832,0.4726,0.15316666666666667
2,3.6554798612976076,3.4244679590861002,0.52874,0.5246666666666666
3,3.560547863769531,3.7855288480122886,0.55992,0.4593333333333333
4,3.2975542121887207,3.181257775624593,0.58232,0.6088333333333333
5,3.2202575537109377,3.2550723514556883,0.6028,0.5665
6,3.165477037887573,2.944330400466919,0.61474,0.6255
7,3.0268153300476075,3.110711539586385,0.62502,0.5973333333333334
8,3.2141600205230714,2.9073962338765464,0.62156,0.6593333333333333
9,2.976393691253662,2.865509764353434,0.64056,0.6596666666666666
10,2.9862540129089354,2.9030398063659666,0.64548,0.6528333333333334
11,2.9373343105316163,2.82037163289388,0.6564,0.672
12,2.8909286710357667,2.825873313903809,0.65752,0.6713333333333333
13,2.8222460848999025,2.7653008359273277,0.6652,0.6698333333333333
14,2.804294744262695,2.742731482187907,0.66926,0.6816666666666666
15,2.771051554260254,2.801118153889974,0.67548,0.649
16,2.751455238647461,2.725966713587443,0.67602,0.6778333333333333
17,2.7512035986328125,2.698838274002075,0.67908,0.6723333333333333
18,2.6914400996398924,2.66972008005778,0.6869,0.6926666666666667
19,2.7185010021972658,2.663329121271769,0.68716,0.692
20,2.678127966308594,2.6537314224243165,0.69028,0.695
21,2.662083844909668,2.6148472887674967,0.69552,0.704
22,2.6493540924072265,2.626801830291748,0.69802,0.7178333333333333
23,2.632265902862549,2.8390673421223958,0.69838,0.6365
24,2.6285481588745117,2.5778181228637695,0.70326,0.7048333333333333
25,2.6143592782592773,2.5637633628845213,0.70892,0.7195
26,2.603470966644287,2.560751794179281,0.7089,0.7156666666666667
27,2.6011888912963865,2.573739423116048,0.7108,0.7166666666666667
28,2.3979580206298827,2.3166122080485025,0.71718,0.7216666666666667
29,2.3854895109558107,2.46381653213501,0.72244,0.702
30,2.3772609757995604,2.4048874079386393,0.72406,0.7223333333333334
31,2.370541812438965,2.350363280614217,0.72622,0.7188333333333333
32,2.189490763244629,2.155095453262329,0.7349,0.7286666666666667
33,2.1890324446105955,2.2323626956939697,0.73632,0.7276666666666667
34,2.1673023138427734,2.302598979314168,0.73996,0.701
35,2.1700820362091062,2.2120586802164715,0.74052,0.7273333333333334
36,2.044073235168457,2.0865557308197022,0.74466,0.7311666666666666
37,2.030545937576294,2.11332839457194,0.7495,0.7315
38,2.0244306674194337,2.088016206741333,0.74938,0.7165
39,2.0113233879089356,2.053556838353475,0.75458,0.7393333333333333
40,2.0143963568878176,2.0641807775497436,0.75416,0.7296666666666667
41,2.000112278366089,2.1058048597971597,0.75838,0.7265
42,2.00147270526886,2.1116009521484376,0.75908,0.7306666666666667
43,1.866428749961853,1.9434012552897135,0.76556,0.7368333333333333
44,1.8626189752197266,2.033619722366333,0.76922,0.7355
45,1.8570089460372925,2.0430228958129883,0.7679,0.7315
46,1.8465480564117431,1.9958488127390543,0.77228,0.7353333333333333
47,1.746432663192749,1.9394282398223877,0.77466,0.727
48,1.733270591506958,1.9069571008682251,0.77502,0.7336666666666667
49,1.7345953230285645,1.8991062103907268,0.77876,0.7325
