epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,2.018986672439575,1.7498095296223959,0.35028,0.4171666666666667
1,1.7191697900390626,1.646845586458842,0.43016,0.46066666666666667
2,1.6093613730239869,1.7095344842274984,0.4616,0.4445
3,1.5408257721328735,1.5889627911249797,0.485,0.472
4,1.4908832817459106,1.7435253941218058,0.5016,0.44433333333333336
5,1.452175613822937,1.4482754046122233,0.51644,0.5098333333333334
6,1.4190206914901733,1.5461012897491455,0.52664,0.49916666666666665
7,1.3943278567886352,1.3913764842351277,0.53252,0.5396666666666666
8,1.368105386428833,1.4001057869593303,0.54282,0.5426666666666666
9,1.3517272930717468,1.4093981815973917,0.54768,0.5326666666666666
10,1.335369289703369,1.3742126299540203,0.55274,0.5503333333333333
11,1.3045383853149415,1.47845911916097,0.56292,0.5183333333333333
12,1.2924376809692384,1.424208334604899,0.5684,0.5345
13,1.2751063255310058,1.4077602262496949,0.57422,0.5455
14,1.2545090238189698,1.4117029854456584,0.58016,0.5286666666666666
15,1.244295955581665,1.3577088443438212,0.5835,0.5568333333333333
16,1.2305671669387817,1.3609300022125244,0.58722,0.5606666666666666
17,1.220023086051941,1.449699696858724,0.59506,0.538
18,1.2127148285865783,1.3287392120361328,0.5952,0.5705
19,1.2031852940368652,1.367712321281433,0.59786,0.5588333333333333
20,1.1968688245391845,1.3288696441650392,0.5974,0.5696666666666667
21,1.193259828338623,1.3658012059529623,0.6004,0.5585
22,1.168125894508362,1.3127613293329874,0.61184,0.5785
23,1.1596314330673219,1.3243380349477132,0.61198,0.5711666666666667
24,1.1490303702354432,1.3356672258377076,0.61506,0.5745
25,1.1321183452415466,1.362076367219289,0.6205,0.5658333333333333
26,1.122849599609375,1.304615544319153,0.6247,0.5806666666666667
27,1.1146997039031983,1.3455380493799844,0.62658,0.569
28,1.1096087578582763,1.329835082689921,0.62808,0.5756666666666667
29,1.0959083100891114,1.3445998458862305,0.63252,0.5713333333333334
30,1.0859631600570678,1.3256783723831176,0.63452,0.5741666666666667
31,1.0749820811843873,1.3076779611905416,0.6388,0.5826666666666667
32,1.0696327857208252,1.3064218683242799,0.63894,0.5858333333333333
33,1.051730475654602,1.3141735525131226,0.64646,0.5843333333333334
34,1.044230238380432,1.327367878595988,0.64956,0.5805
35,1.039650580482483,1.365973663965861,0.65044,0.5733333333333334
36,1.0149127578926087,1.4900620180765787,0.66124,0.5493333333333333
37,1.0108851344108583,1.3934266497294108,0.65766,0.5595
38,1.0053920331954955,1.4253330453236899,0.6634,0.5608333333333333
39,0.9859523453140259,1.3367569691340129,0.66598,0.582
40,0.983827924079895,1.3162324104309082,0.66916,0.5833333333333334
41,0.978995318107605,1.3766685231526692,0.66958,0.5815
42,0.9642819883728028,1.3144146064122517,0.67448,0.5818333333333333
43,0.9529401038360595,1.3797886095046996,0.67684,0.5671666666666667
44,0.9530152352142334,1.4153071324030557,0.67812,0.5666666666666667
45,0.9370164656066895,1.4432611951828003,0.68124,0.5498333333333333
46,0.9279786400032043,1.3636301930745443,0.6854,0.5793333333333334
47,0.9226842650413514,1.37468061319987,0.68426,0.577
48,0.9099887031936645,1.3493535509109498,0.6913,0.5845
49,0.9084361702156067,1.3640282694498698,0.6906,0.5788333333333333
